開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
選擇	xuan3ze2	noun choice 沒有選擇 méi·yǒu xuǎnzé have no choice at all  verb select; choose; opt 選擇職業 xuǎnzé zhíyè choose an occupation 選擇(的)餘地 xuǎnzé yúdì option; choice
樣子	yang4zi5	noun 1 appearance; shape 這件大衣的樣子很好看。 Zhè jiàn dàyī de yàngzi hěn hǎokàn. This coat is well cut. 這活兒做得不像樣子。 Zhè huór zuòdé bù xiàng yàngzi. This job has been done too crudely. 2 manner; air 裝出一副公正的樣子 Zhuāng chū yī fù gōngzhèng de yàngzi assume a righteous posture (or manner, air) 看他那高興的樣子。 Kàn tā nà gāoxìng de yàngzi. How happy he looks! 3 sample; model; pattern 衣服樣子 yīfu yàngzi clothes pattern 做出樣子來 Zuòchū yàngzi lái set an example 給我個樣子, 我好照著做。 Gěi wǒ ge yàngzi, wǒ hǎo zhào zhe zuò. Give me a model to follow. 4 colloquial tendency; likelihood 看樣子這星期他來不了。 Kànyàngzi zhè xīngqī tā láibuliǎo. It seems (or looks as if ) he won’t be able to come this week. 天像是要下雨的樣子。 Tiān xiàng shì yào xià yǔ de yàngzi. It looks like rain.
摸	mo1	verb 1 feel; stroke; touch 這衣料摸著很軟。 Zhè yīliào mō zhe hěn ruǎn. The material feels soft. 她輕輕地摸了摸孩子的頭。 Tā qīngqīng de mō le mō háizi de tóu. She gently stroked the child’s head. 2 feel for; grope for; fumble 他從床底下摸出一雙鞋來。 Tā cóng chuáng dǐxia mō chū yī shuāng xié lái. He fished out a pair of shoes from under the bed. 他在口袋裡摸了半天, 摸出一張紙條來。 Tā zài kǒudai lǐ mō le bàntiān, mō chū yī zhāng zhǐtiáo lái. He felt in his pocket for a while and finally produced a slip of paper. 3 find out; feel out; sound out 摸不著邊 mōbuzháobiān cannot grasp (the meaning of sth.); unable to understand 摸清敵情 Mōqīng díqíng find out about the enemy’s situation 摸出一套種植水稻的經驗 mō chū yī tào zhòngzhí shuǐdào de jīngyàn gain experience in growing rice; figure out a successful way to grow rice 你去摸摸他對這個問題的看法。 Nǐ qù mōmō tā duì zhège wèntí de kànfǎ. Go and sound him out on this matter. 4 pilfer; steal; filch 小偷小摸 xiǎotōu-xiǎomō pilfer; filch; petty thief 5 grope in the dark; feel one's way 在黑暗中摸著下樓 Zài hēi'àn zhōng mō zhe xià lóu grope one’s way down the stairs in the dark
店員	dian4yuan2	noun shop assistant; salesclerk; clerk; salesman or saleswoman
短	duan3	adjective short; brief (opp. 長) 開個短會 Kāi ge duǎn huì have a brief meeting 這條路最短。 Zhè tiáo lù zuì duǎn. This is the shortest way. 冬季日短夜長。 Dōngjì rì duǎn yè cháng. In winter, the days are short and the nights long. 她頭髮剪得短短的。 Tā tóufa jiǎn de duǎnduǎn de. She had her hair cut short. or Her hair is cut short. 我給他寫了封短信。 Wǒ gěi tā xiě le fēng duǎn xìn. I dropped him a few lines.  verb lack; owe 一個月短兩天 yī ge yuè duǎn liǎng tiān two days short of a month; a month less two days 短你三塊錢。 Duǎn nǐ sān kuài qián. I owe you three yuan. 別人都來了, 就短他一個。 Biéren dōu lái le, jiù duǎn tā yī ge. All the others are here; only he’s missing.  noun weak point; fault; failing 揭短 jiēduǎn expose sb.’s shortcomings (or weaknesses)
羊毛	yang2mao2	noun wool; fleece 羊毛皮 yángmáopí woolfell 羊毛條 yángmáo tiáo wool tops
暖和	nuan3huo5	verb warm up 屋裡有火, 快進來暖和暖和吧！ Wū lǐ yǒu huǒ, kuài jìnlai nuǎnhuo nuǎnhuo ba! There is a fire here; come in and warm yourself.  adjective (of weather, environment, etc.) warm; mild 爐子一著, 屋子就暖和了。 Lúzi yī zhe, wūzi jiù nuǎnhuo le. The room warmed up after the stove got going.
打折	da3//zhe2	verb give a discount 打五折出售 dǎ wǔ zhé chūshòu sell at a 50% discount
原價	yuan2jia4	noun original price; prime cost 按原價打九折出售 Àn yuánjià dǎ jiǔzhé chūshòu sell at 10% off; give a 10% discount on the marked price
刷卡	shua1//ka3	verb swipe a card (on a magnetic card reading machine) 刷卡消費 shuākǎ xiāofèi pay by (credit) card
現金	xian4jin1	noun 1 ready money; cash 現金短缺 xiànjīn duǎnquē short of cash 現金過剩 xiànjīn guòshèng surplus of cash 2 cash reserve in a bank
麻煩	ma2fan5	adjective troublesome; inconvenient 麻煩事 má fan shì tricky matter; sticky job 如果對你不太麻煩的話 Rúguǒ duì nǐ bùtài máfan dehuà if it is not too inconvenient for you 手續很麻煩。 Shǒuxù hěn máfan. These formalities are troublesome. 這事要是太麻煩, 你就別管了。—— 一點兒也不麻煩。 zhè shì yàoshi tài máfan, nǐ jiù bié guǎn le. —— Yīdiǎnr yě bù máfan. Don’t bother if it’s too much trouble.—No trouble at all. 這下可麻煩了, 我把鑰匙鎖在屋裡了。 Zhè xià kě máfan le, wǒ bǎ yàoshi suǒ zài wū lǐ le. What a nuisance! I’ve locked my key in the room.  noun trouble; inconvenience 麻煩還在後頭呢！ Máfan hái zài hòutou ne! There will be more trouble to come. 這類麻煩我經歷過不少。 Zhè lèi máfan wǒ jīnglì guò bùshǎo. I’ve been through lots of troubles.  verb inconvenience sb.; trouble sb.; bother 對不起, 太麻煩你了。 Duìbuqǐ, tài máfan nǐ le. Sorry to have put you to so much trouble. 這點小事不要去麻煩他了。 Zhè diǎn xiǎoshì bù yào qù máfan tā le. Don’t bother him with such trifles.
簽名	qian1ming2	verb (-//-) sign one's name; autograph 簽名蓋章 qiānmíng gàizhāng sign and affix one’s seal; set one’s hand and seal to 親筆簽名的照片 qīnbǐ qiānmíng de zhàopiàn an autographed picture 她請電影明星在本子上簽了個名。 Tā qǐng diànyǐng míngxīng zài běnzi shàng qiān le ge míng. She asked the movie star to sign his autograph in her notebook.  noun signature; autograph 為請願書集取到一萬份簽名 wèi qǐngyuànshū jí qǔ dào yīwàn fèn qiānmíng collected 10,000 signatures for the petition
破洞	po4dong4	a hole
發票	fa1piao4	noun invoice 開一張發票 Kāi yī zhāng fāpiào make an invoice
弄	nong4	verb 1 play with; fool with 小孩子愛弄沙土。 Xiǎoháizi ài nòng shātǔ. Children like to play in the sand. 你別弄鬧鐘了。 Nǐ bié nòng nàozhōng le. Stop playing with that alarm clock. 2 do; manage; handle; get sb. or sth. into a specified condition 弄飯 nòngfàn prepare a meal; cook 他把衣服弄髒了。 Tā bǎ yīfu nòng zāng le. He got his clothes dirty. 弄得不好, 就會前功盡棄。 Nòng de bù hǎo, jiù huì qiángōngjìnqì. If we don’t do well now, all our previous work will be wasted. 他這一說反把我弄糊塗了。 Tā zhè yī shuō fǎn bǎ wǒ nòng hútu le. His explanation only confused me more. 我來不及了, 你幫我弄弄吧。 Wǒ láibují le, nǐ bāng wǒ nòng nòng ba. I’m short of time so please do it for me. 有些問題還需要弄清楚。 Yǒuxiē wèntí hái xūyào nòng qīngchu. Certain questions remain to be clarified. 3 get; fetch 你去弄點兒水來。 Nǐ qù nòng diǎnr shuǐ lái. Go and get some water. 4 play 弄手段 nòng shǒuduàn play tricks
退	tui4	verb 1 move back; retreat (opp. 進) 退一步說 tuì yī bù shuō even if that is so; even so 敵人已經退了。 Dírén yǐjing tuì le. The enemy has retreated. 他往後退了幾步。 Tā wǎng hòu tuì le jǐ bù. He stepped back a few paces. or He backed up several steps. 2 cause to move back; withdraw; remove 把子彈退出來 bǎ zǐdàn tuì chūlai remove a cartridge from the breech of a gun; unload a gun 3 withdraw from; quit See 31861248退黨tui4dang3退黨 4 decline; recede; ebb 潮水退了。 Cháoshuǐ tuì le. The tide has receded. or The tide is on the ebb. 5 fade See 31867392退色tui4shai3退色 tuì//shǎi 6 return; give back; refund 空瓶不退。 Kōng píng bù tuì. Empty bottles are not refundable. 把這份禮退掉。 Bǎ zhè fèn lǐ tuì diào. Return this gift. 7 cancel; break off 退掉訂貨 Tuì diào dìnghuò cancel an order (for merchandise)
換	huan4	verb 1 exchange; barter; trade 用石油換工業品 Yòng shíyóu huàn gōngyèpǐn exchange (or barter) oil for industrial products 用鮮血換來的教訓 yòng xiānxuè huàn lái de jiàoxun lesson paid in blood 2 change 換衣服 huàn yīfu change one’s clothes 他換工作了嗎？ Tā huàn gōngzuò le ma？ Has he changed his job? 出去走一下, 換換腦筋。 Chūqu zǒu yī xià, huàn huàn nǎojīn. Let's go for a walk and give our minds a rest. 3 exchange; convert 把美元換成人民幣 Bǎ Měiyuán huàn chéng rénmínbì convert (or change) US dollars into Renminbi 4 colloquial transplant (an organ) 換腎 huànshèn transplant a kidney 5 colloquial transfuse (blood)
店長	dian4zhang3	store manager
週年	zhou1nian2	noun anniversary 五十週年紀念 wǔshí zhōunián jìniàn golden jubilee 一百週年 yībǎi zhōunián centenary 二十五週年紀念 èrshíwǔ zhōunián jìniàn silver jubilee 建廠十五週年 Jiànchǎng shíwǔ zhōunián the 15th anniversary of the founding of the factory
一般來說	yi1ban1lai2shuo1	generally speaking
試穿	shi4chuan1	try on (a garment, shoes, etc.)
弄丟	nong4diu1	to lose
// 3.2 - 2
購物	gou4wu4	verb shop; visit shops (to buy things) 去購物 qù gòuwù go shopping; do (one’s) shopping
糾紛	jiu1fen1	noun dispute; issue 家庭糾紛 jiātíng jiūfēn household quarrel 調解糾紛 tiáojiě jiūfēn mediate a dispute 挑起糾紛 tiǎoqǐ jiūfēn stir up trouble; cause mischief; provoke 無原則的糾紛 wú yuánzé dejiūfēn unprincipled dispute 國與國之間的糾紛 guó yǔ guó zhījiān de jiūfēn disputes between countries
電信	dian4xin4	noun telecommunications
門市	men2shi4	noun retail sales
居留證	ju1liu2zheng4	residence permit
型	xing2	noun 1 metallurgy mould 砂型 shāxíng sand mould 2 model; type; pattern 人類血液分為Ｏ型, Ａ型, Ｂ型和 ＡＢ型四種血型。 Rénlèi xuèyè fēnwéi Oxíng, Axíng, Bxíng hé ABxíng sì zhǒng xuèxíng. Human blood is classified into four blood types (or blood groups), namely, type O, type A, type B and type AB.
並	bing4	verb stand (or place) side by side 竝生 bìng shēng grow together; coexist  adverb 1 side by side; equally; simultaneously 竝案處理 bìng àn chǔlǐ deal with cases at one and the same time 2 [used to reinforce a negative] actually; definitely 你以為他傻, 其實他竝不傻。 nǐ yǐwéi tā shǎ, qíshí tā bìng bù shǎ. You thought he was foolish, but actually he isn’t. 3 classical even 竝此淺易之理亦不能明 bìng cǐ qiǎnyì zhī lǐ yì bùnéng míng cannot understand even a simple truth like that  conjunction and; besides 我完全同意竝擁護這個報告。 Wǒ wánquán tóngyì bìng yōnghù zhège bàogào. I fully agree with and endorse this report.
包括	bao1kuo4	verb include; consist of; comprise; incorporate 報價中不包括運費。 bàojià zhōng bù bāokuò yùnfèi. Carriage is not included in the quotation. 房租每月四百元, 水電費包括在內。 Fángzū měi yuè sìbǎi yuán, shuǐ-diànfèi bāokuò zàinèi. The rent is 400 yuan a month, including water and electricity. 他的報告包括三個方面。 Tā de bàogào bāokuò sān ge fāngmiàn. His report touched on three aspects. 我們的設計已經包括了你們的意見。 Wǒmen de shèjì yǐjing bāokuò le nǐmen de yìjian. Our design has incorporated your suggestions.
解釋	jie3shi4	verb explain; expound; interpret 解釋法律 jiěshì fǎlǜ interpret laws 解釋新詞 jiěshì xīncí explain a new word 對這件事你怎樣解釋？ Duì zhè jiàn shì nǐ zěnyàng jiěshì? How do you account for this? 這些事實不能有別的解釋。 Zhèxiē shìshí bù néng yǒu bié de jiěshì. The facts admit of no other explanation. 這是誤會, 解釋一下就行了。 Zhè shì wùhuì, jiěshì yīxià jiù xíng le. This is a misunderstanding. A little explanation will clear it up. 河水的流動可以用重力原理來解釋。 Héshuǐ de liúdòng kěyǐ yòng zhònglì yuánlǐ lái jiěshì. The flow of river water is explained by the principle of gravity. 對本協定在解釋上遇有分岐, 應以中文本為準。 Duìběn xiédìng zài jiěshì shàng yù yǒufèn qí, yīng yǐ Zhōngwén běn wéi zhǔn. In case of divergence of interpretation of this agreement, the Chinese text shall prevail.
顧客	gu4ke4	noun customer; shopper; client 顧客至上。 Gùkèzhìshàng. Customers First. or The customer is always right.
尤其	you2qi2	adverb especially; particularly 講話的第一部分尤其重要。 Jiǎnghuà de dì-yī bùfen yóuqí zhòngyào. The first part of the speech is particularly important. 多喝酒對身體不好, 尤其影響心臟。 Duō hē jiǔ duì shēntǐ bù hǎo, yóuqí yǐngxiǎng xīnzàng. Heavy drinking is harmful to health, especially to the heart.
騙	pian4	verb 1 deceive; fool; hoodwink; cheat 受騙 shòupiàn be taken in; deceived 這種花招騙不了人。 Zhèzhǒng huāzhāo piànbuliǎo rén. Nobody will be fooled by such tricks. 2 cheat; swindle 騙錢 piànqián cheat sb. out of their money; defraud  verb swing (or leap) into the saddle; mount (a horse)
頓	dun4	verb 1 pause 他頓了一下, 又接著往下說。 Tā dùn le yīxià, yòu jiēzhe wǎng xià shuō. He paused a moment and then went on speaking. 2 calligraphy pause with the brush in order to reinforce the beginning or ending of a stroke 3 arrange; settle 安頓 āndùn help settle down 4 dated touch the ground (with one's head) 頓首 dùnshǒu kowtow 5 stamp (one's foot) 頓足 dùnzú stamp  adverb literary suddenly; immediately 頓感傷悲 dùn gǎn shāngbēi gripped by a feeling of sadness  measure word [indicating frequency] 說了他一頓 shuō le tā yī dùn give him a dressing down 一天三頓飯 yī tiān sān dùn fàn three meals a day  adjective fatigued; tired 勞頓 láodùn weary
